pair_id,query_id,target_grade,question_en,candidate_A_lecture_hi,candidate_B_lecture_hi,human_vote_A_supports (0/1),human_vote_B_supports (0/1),human_preference (A/B/Tie),human_annotator_notes
pair_001,q_train_sqa_776,grade7,Select the organism in the same species as the bobcat.,...,"वैज्ञानिक जीवों की पहचान करने के लिए वैज्ञानिक नामों का उपयोग करते हैं। वैज्ञानिक नाम दो शब्दों से बने होते हैं। किसी जीव के वैज्ञानिक नाम में पहला शब्द उस जीव के वंश को दर्शाता है। वंश उन जीवों का समूह होता है जो कई लक्षण साझा करते हैं। एक वंश एक या अधिक प्रजातियों से बना होता है। प्रजाति अत्यंत समान जीवों का समूह होती है। किसी जीव के वैज्ञानिक नाम में दूसरा शब्द उसके वंश के भीतर उसकी प्रजाति को बताता है। मिलकर, किसी जीव के वैज्ञानिक नाम के दोनों भाग उसकी प्रजाति की पहचान करते हैं। उदाहरण के लिए, Ursus maritimus और Ursus americanus भालुओं की दो प्रजातियाँ हैं। ये दोनों समान वंश, Ursus, का हिस्सा हैं। लेकिन वे उसी वंश के भीतर अलग-अलग प्रजातियाँ हैं। Ursus maritimus का प्रजाति नाम maritimus है। Ursus americanus का प्रजाति नाम americanus है। दोनों भालुओं में छोटे गोल कान और तेज पंजे होते हैं। लेकिन Ursus maritimus में सफेद फर होता है और Ursus americanus में काला फर होता है।",,,,
pair_002,q_train_sqa_130,grade7,"Would you find the word scoop on a dictionary page with the following guide words?
seam - sheriff","शब्दकोश के प्रत्येक पृष्ठ पर मार्गदर्शक शब्द दिखाई देते हैं। ये शब्द आपको उस पृष्ठ पर छपे पहले और अंतिम शब्द बताते हैं। पृष्ठ पर स्थित अन्य सभी शब्द वर्णानुक्रम में इन मार्गदर्शक शब्दों के मध्य आते हैं। शब्दों को वर्णानुक्रम में व्यवस्थित करने के लिए, उन्हें उनके पहले अक्षर के अनुसार क्रमबद्ध करें। यदि पहले अक्षर समान हों, तो दूसरे अक्षर देखें। यदि दूसरे अक्षर समान हों, तो तीसरे अक्षर देखें, और इसी प्रकार आगे बढ़ें।",...,,,,
pair_003,q_train_sqa_28,grade7,How long is a guitar?,"मापों को हमेशा एक संख्या और एक इकाई के साथ लिखा जाता है। इकाई संख्या के बाद आती है। इकाई यह दर्शाती है कि संख्या का क्या अर्थ है।

कल्पना कीजिए कि आपको बताया जाए कि एक पेंसिल 16 लंबी है। आप सोच सकते हैं, 16 क्या? क्या पेंसिल 16 सेंटीमीटर लंबी है? 16 मीटर? 16 किलोमीटर?

केवल 16 संख्या अकेले पेंसिल की लंबाई के बारे में आपको अधिक जानकारी नहीं देती। ऐसा इसलिए है क्योंकि इकाइयाँ अनुपस्थित हैं।

अब पेंसिल और रूलर के चित्र को देखें। रूलर से स्पष्ट होता है कि इकाई सेंटीमीटर है। इसलिए, पेंसिल की लंबाई 16 सेंटीमीटर है।

1 मीटर में 100 सेंटीमीटर होते हैं। इसलिए, 1 सेंटीमीटर, 1 मीटर की तुलना में बहुत छोटा होता है।

1 किलोमीटर में 1,000 मीटर होते हैं। इसलिए, 1 मीटर, 1 किलोमीटर की तुलना में बहुत छोटा होता है।",...,,,,
pair_004,q_train_sqa_910,grade2,Will these magnets attract or repel each other?,"चुंबक एक-दूसरे को स्पर्श किए बिना भी एक-दूसरे को खींच या धकेल सकते हैं। जब चुंबक आकर्षित होते हैं, तो वे एक-दूसरे की ओर खिंचते हैं। जब चुंबक प्रतिकर्षित होते हैं, तो वे एक-दूसरे से दूर धकेले जाते हैं। चुंबकों के बीच लगने वाले इन खिंचाव और धकेलने वाले बलों को चुंबकीय बल कहा जाता है। दो चुंबकों के बीच चुंबकीय बल जितना अधिक प्रबल होगा, चुंबक उतनी ही अधिक तीव्रता से एक-दूसरे को आकर्षित या प्रतिकर्षित करेंगे।",...,,,,
pair_005,q_train_sqa_324,grade6,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium.",...,"विलयन में, विलेय कण विलायक में गति करते हुए पूरे क्षेत्र में फैल जाते हैं। नीचे दिया गया आरेख दिखाता है कि समय के साथ एक विलयन कैसे बदल सकता है। विलेय कण उस क्षेत्र से उस क्षेत्र की ओर गति करते हैं जहाँ उनकी सांद्रता अधिक होती है, उस क्षेत्र की ओर जहाँ उनकी सांद्रता कम होती है। यह गति विसरण की प्रक्रिया के माध्यम से होती है।

विसरण के परिणामस्वरूप, विलेय कणों की सांद्रता विलयन भर में समान हो जाती है। जब ऐसा होता है, तो विलेय कण साम्यावस्था प्राप्त कर लेते हैं। साम्यावस्था पर, विलेय कण गति करना बंद नहीं करते। लेकिन विलयन भर में उनकी सांद्रता समान ही रहती है।

झिल्लियाँ, या पतली सीमाएँ, विलयनों को भागों में विभाजित कर सकती हैं। एक झिल्ली विलेय के लिए पारगम्य होती है जब विलेय के कण झिल्ली में मौजूद अंतरालों से गुजर सकते हैं। इस स्थिति में, विलेय कण एक तरफ से दूसरी तरफ झिल्ली के पार स्वतंत्र रूप से गति कर सकते हैं।

इसलिए, विलेय कणों के साम्यावस्था तक पहुँचने के लिए, अधिक कण विलेय कणों की उच्च सांद्रता वाली तरफ से कम सांद्रता वाली तरफ की ओर पारगम्य झिल्ली के पार गति करेंगे। साम्यावस्था पर,",,,,
pair_006,q_train_sqa_291,grade3,How long is a hiking trail?,"माप को एक संख्या और एक इकाई के साथ लिखा जाता है। इकाई संख्या के बाद आती है। इकाई यह दर्शाती है कि संख्या का क्या अर्थ है।

जब मीट्रिक इकाइयों का उपयोग किया जाता है, तो लंबाई को मिलीमीटर, सेंटीमीटर, मीटर या किलोमीटर की इकाइयों में लिखा जा सकता है। एक मीटर में 100 सेंटीमीटर या 1,000 मिलीमीटर होते हैं। इसलिए, 1 मीटर, 1 सेंटीमीटर से बड़ा होता है, और 1 सेंटीमीटर, 1 मिलीमीटर से बड़ा होता है।

यहाँ दिखाई गई पेंसिल का नोक केवल 1 मिलीमीटर चौड़ा है, लेकिन पेंसिल की लंबाई लगभग 16 सेंटीमीटर है।

एक रेड फॉक्स की लंबाई लगभग 1 मीटर होती है। ऑस्ट्रेलिया में स्थित सिडनी हार्बर ब्रिज की लंबाई लगभग 1,000 मीटर या 1 किलोमीटर है।",...,,,,
pair_007,q_train_sqa_265,grade6,Which air temperature was measured within the outlined area shown?,"वायु द्रव्यों का अध्ययन करने के लिए, वैज्ञानिक ऐसे मानचित्रों का उपयोग कर सकते हैं जो पृथ्वी के वायुमंडल के भीतर की स्थितियों को दर्शाते हैं। उदाहरण के लिए, नीचे दिया गया मानचित्र वायु तापमान को दर्शाने के लिए रंगों का उपयोग करता है। मानचित्र की कुंजी बताती है कि प्रत्येक रंग किस तापमान को दर्शाता है। कुंजी में बाईं ओर के रंग दाईं ओर के रंगों की तुलना में निम्न तापमान को दर्शाते हैं। उदाहरण के लिए, मानचित्र पर वे क्षेत्र जो नीले रंग के सबसे गहरे शेड वाले हैं, उनका तापमान -25°C से लेकर -20°C तक होता है। अगले सबसे गहरे नीले शेड वाले क्षेत्रों का तापमान -20°C से लेकर -15°C तक होता है।","वायु द्रव्यों का अध्ययन करने के लिए, वैज्ञानिक ऐसे मानचित्रों का उपयोग कर सकते हैं जो पृथ्वी के वायुमंडल के भीतर की स्थितियों को दर्शाते हैं। उदाहरण के लिए, नीचे दिया गया मानचित्र वायु तापमान को दर्शाने के लिए रंगों का उपयोग करता है। मानचित्र की कुंजी बताती है कि प्रत्येक रंग किस तापमान को दर्शाता है। कुंजी में बाईं ओर के रंग दाईं ओर के रंगों की तुलना में निम्न तापमान को दर्शाते हैं। उदाहरण के लिए, मानचित्र पर वे क्षेत्र जो नीले रंग के सबसे गहरे शेड वाले हैं, उनका तापमान -25°C से लेकर -20°C तक होता है। अगले सबसे गहरे नीले शेड वाले क्षेत्रों का तापमान -20°C से लेकर -15°C तक होता है।",,,,
pair_008,q_train_sqa_165,grade8,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,...,"किसी पदार्थ का तापमान उसमें उपस्थित कणों की औसत गतिज ऊर्जा पर निर्भर करता है। कणों की औसत गतिज ऊर्जा जितनी अधिक होगी, पदार्थ का तापमान उतना ही अधिक होगा। किसी कण की गतिज ऊर्जा उसके द्रव्यमान और चाल द्वारा निर्धारित होती है। एक शुद्ध पदार्थ के लिए, यदि पदार्थ में प्रत्येक कण का द्रव्यमान अधिक हो और कणों की औसत चाल अधिक हो, तो उनकी औसत गतिज ऊर्जा भी अधिक होगी।",,,,
pair_009,q_train_sqa_905,grade12,"Which type of sentence is this?
Dominic took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",...,...,,,,
pair_010,q_train_sqa_118,grade4,What is this tarantula's scientific name?,...,...,,,,
